etf,symbol,period,test_name,calculated,reference,abs_diff,pct_diff,tolerance,result,source,source_url,comment
SCHY,ASX:BHP,2025,eps_reconciliation,2.6959410977769034,2.6959410977769034,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,ASX:BHP,2025,balance_sheet_identity,165295526000,165295526000,0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,ASX:BHP,2025,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,TSE:4528,2026,eps_reconciliation,148.5137344391274,148.5137344391274,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,TSE:4528,2026,balance_sheet_identity,1106515000000,1106515000000,0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,TSE:4528,2026,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,LSE:GSK,2025,eps_reconciliation,1.3883896040806412,1.3883896040806412,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,LSE:GSK,2025,balance_sheet_identity,61118000000,61118000000,0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,LSE:GSK,2025,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,EURONEXT:TTE,2025,eps_reconciliation,4.970423999121551,4.970423999121551,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,EURONEXT:TTE,2025,balance_sheet_identity,247716910499.99997,247716910499.99994,3.0517578125e-05,1.2319537678474317e-16,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,EURONEXT:TTE,2025,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,MIL:ENEL,2025,eps_reconciliation,0.390000000012,0.390000000012,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,MIL:ENEL,2025,balance_sheet_identity,178657000000,178657000000,0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,MIL:ENEL,2025,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,LSE:ULVR,2025,eps_reconciliation,3.7612066234599966,3.7612066234599966,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,LSE:ULVR,2025,balance_sheet_identity,61450778239.92481,61450778239.92481,0.0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,LSE:ULVR,2025,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,LSE:BATS,2025,eps_reconciliation,3.530695770804911,3.530695770804911,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,LSE:BATS,2025,balance_sheet_identity,109290000000,109290000000,0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,LSE:BATS,2025,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,XETR:DHL,2025,eps_reconciliation,3.04377666801211,3.04377666801211,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,XETR:DHL,2025,balance_sheet_identity,71018000000,71018000000,0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
SCHY,XETR:DHL,2025,currency_match,1.0,1.0,0.0,0.0,0.0,PASS,internal,,"Moeda do demonstrativo versus moeda do preço, com conversão de subunidade quando aplicável."
SCHY,ASX:WES,2025,eps_reconciliation,2.580246913580247,2.580246913580247,0.0,0.0,0.05,PASS,internal,,Lucro ordinário dividido por ações diluídas versus EPS reportado.
SCHY,ASX:WES,2025,balance_sheet_identity,27981000000,27981000000,0,0.0,0.02,PASS,internal,,Ativos devem ser aproximadamente iguais a passivos + patrimônio.
